Number of Reviews,Channel,Brand,Source Name,Item ID,Product_ID,Catalog,Stage of Development,Data Cycle,Source Product Identifier,Brand Raw,Entity Type,Link,Title,Description,About,Product Category,Source Ingredient,Relevancy,Relevancy 1,Final Relevancy,Solution Type,Geography,Rating,Configuration Name,Name,ASIN,rand_id
0,Amazon USA,Eden,Amazon USA,Amazon USA_20190523_156137,Product_20190523_111071,Product,,2019 Q1,B0046HI66I,Eden,Company,https://www.amazon.com/dp/B0046HI66I,"Eden Foods, Rice And Beans Mexican Organic, 15 Ounce",Save on Eden Foods 12X 15 Oz Mexican Rice & Black Beans The Renowned Staple With Lundberg Short Grain Brown Rice And Usa Family Farm Black Beans Cooked In A Spicy Tomato Puree With A Bit Of Our Finest Sea Salt. Expertly Prepared At Our Certified And Circle K Kosher Cannery.: (Note: This Product Description Is Informational Only. Always Check The Actual Product Label In Your Possession For The Most Accurate Ingredient Information Before Use. For Any Health Or Dietary Related Matter Always Consult Your Doctor Before Use.),"About the product 100% Organic Grains, Beans & Side Dishes|Beans Eden Foods Mexican Rice & Black Beans (12x15 OZ) More","Grocery & Gourmet Food Pantry Staples Canned, Jarred & Packaged Foods Beans & Peas",,Yes,,Yes,General Beans;General Rice,USA,,Amazon by ASIN,,B0046HI66I,0.895020928
0,Amazon USA,Tasty Joy,Amazon USA,Amazon USA_20190523_124061,Product_20190523_78995,Product,Product,2019 Q1,B07FMK22MY,Tasty Joy,,https://www.amazon.com/dp/B07FMK22MY,Mung Beans Dried Tasty Joy 14oz Bag Thailand,14oz Bag Dried Mung Beans from Thailand,,,,Yes,,Yes,Mung Beans,USA,,Amazon Products,,B07FMK22MY,0.295003219
248,Amazon USA,Nature's Path,Amazon USA,Amazon USA_20190523_127725,Product_20190523_82659,Product,Product,2019 Q1,B00860XEJ0,Nature's Path,Brand,https://www.amazon.com/dp/B00860XEJ0,"Nature’s Path Qi'a Superfood Topper with Chia, Buckwheat + Hemp, Healthy, Organic & Gluten Free, 7.9 Ounces","Flavor: Original You strive to live a healthy lifestyle, so why shouldn't the food you eat be just as healthy and organic? Nature's Path Qi'a Superfood Original Topper brings you back to the basics without sacrificing flavor. Crunch away each morning when adding this topper to your favorite snacks or meals, such as salads, oatmeal, smoothies and more. Perfect for on-the-go must-haves or leisurely breakfasts at home, know that with Nature's Path Qi'a you get a healthy, organic source of fiber and Omega-3s without any added sugar or salt.","About the product INCLUDES: 1 Pouch of Nature's Path Qi'a Superfood Original Cereal (7.9 Oz.). SUPERFOOD WITH A SUPER TASTE: You deserve a healthy way to top your oatmeal, yogurt, smoothies, overnight oats or salads. That’s what you get with this Nature’s Path Qi’a Original Topper that includes a rich blend of chia seeds, hemp seeds and buckwheat groats that tempt your taste buds while delivering a powerful chewy, crunch. ALWAYS ORGANIC: Certified USDA organic, this delicious superfood represents the true values of Nature's Path. This delicious cold cereal or yogurt topper, includes wholefood simple ingredients embracing sustainable processes. HEALTHY WAY TO TOP FOODS: While you can start your day of right by adding this superfood topper to your oatmeal, yogurt and smoothies, you can also enjoy the crunchy, nutty seeds on your salads later in the day. The Superfood Original Topper fuels your body with fiber and ALA Omega-3s. With every bite, know your indulging in a healthy treat that is free from wheat, gluten, sugar, salt and artificial preservatives, colors and flavoring. GOOD FOR THE ENVIRONMENT, GOOD FOR YOU: By choosing Organic (such as Nature’s Path products) you're choosing to nourish the soil, the environment, and yourself. Nature's Path believes in fair practices and high quality. We're not just organic - we're always organic. More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Buckwheat,USA,4.3,Amazon Products,,B00860XEJ0,0.131111234
5,Amazon USA,Eden,Amazon USA,Amazon USA_20190523_120974,Product_20190523_75908,Product,Product,2019 Q1,B005HTIZ24,Eden,Company,https://www.amazon.com/dp/B005HTIZ24,"Eden Foods Barley Malt, Og, 20-Ounce (Pack of 4)","Size: Pack - 4 Eden Organic Barley Malt – U.S.A. organic whole grain barley. Sprouting creates enzymes that convert starch, the complex carbohydrates, to sugars. Evaporation concentrates it to rich syrup. To replace sugar, use 1/4 cup less liquid for each cup of barley malt syrup used. Use one for one to replace honey and molasses in recipes.",About the product Eden foods 'traditional Barley Malt... 20oz jar Creation & Maintenance of Purity in Food OCIA Certified Organic Good Food Good Reason Health & Happiness Kosher Pareve More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes","Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition. 'INGREDIENTS ORGANIC SPROUTED BARLEY, WATER'",Yes,,Yes,Barley,USA,4.5,Amazon Products,,B005HTIZ24,0.090137448
0,Amazon USA,Quaker Oats,Amazon USA,Amazon USA_20190523_120290,Product_20190523_75224,Product,Product,2019 Q1,B07FRHDL2J,Quaker,Company,https://www.amazon.com/dp/B07FRHDL2J,"Rice A Roni, Beef, 6 Count","Flavor: Cheddar Broccoli | Size: 6 Count Prepare for a stampede to the dinner table when you serve our delicious rice and vermicelli blended with the savory flavors of onions, carrots, beef broth and garlic!","About the product Prepare for a stampede to the dinner table when you serve our delicious rice and vermicelli blended with the savory flavors of onions, carrots, beef broth and garlic! It's the perfect complement to your favorite beef recipes. Ready in 15-20 minutes Try making it a meal by adding corn and cooked ground beef or turkey. Includes 6 (6.9oz) boxes of Rice a Roni, Beef flavor More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes",,Yes,,Yes,General Rice,USA,,Amazon Products,,B07FRHDL2J,0.840666499
0,Amazon USA,The Soulfull Project,Amazon USA,Amazon USA_20190523_125071,Product_20190523_80005,Product,Product,2019 Q1,B07DFR8C3R,The Soulfull Project,,https://www.amazon.com/dp/B07DFR8C3R,"The Soulfull Project Cinnamon Spice Multigrain Oatmeal, 1.4 Ounce, 5 Count (Pack of 6)","Our Cinnamon Spice Multigrain Hot Cereal now comes in a 5-packet carton! Enjoy a gluten free blend of whole grain oats, red quinoa, flax, and chia seeds. Lightly sweetened with delicious cinnamon spice and a touch of brown sugar (with just 7 grams of sugar per serving) all in a convenient on-the-go packet! All of the ingredients you love with nothing artificial and ready in under 3 minutes. Our full line of cereal is vegan, Non-GMO Project Verified and Whole Grain Stamp approved. For every serving purchased we donate a serving of our Four Grain Blend to a food bank in the same region.","About the product For every serving purchased we donate a serving of our 4 Grain Blend to a food bank in the same region Non-GMO Verified, Vegan & Gluten Free Lightly sweetened with brown sugar- a blend of oats, quinoa, chia, and flax Quick cooking oats. Ready in under 5 minutes! Nothing artificial! More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,,Amazon Products,,B07DFR8C3R,0.943920904
2,Amazon USA,Gf Harvest,Amazon USA,Amazon USA_20190523_127479,Product_20190523_82413,Product,Product,2019 Q1,B01N6OX5NL,GF Harvest,Company,https://www.amazon.com/dp/B01N6OX5NL,"GF Harvest Organic Rolled Oats, Gluten Free, 41 Ounce Bag (Pack of 6)","2.5 lb. Bag certified Organic, certified Gluten Free Rolled Oats. 100% whole grain, natural rolled oats for a heart healthy start to your day or for use in your favorite recipes. Case of 6 41 oz. bags Certified Organic by OneCertTM. Certified Gluten-Free. Certified Non-GMO. Tested to be under 10 PPM gluten content. Trust From The Start TM. We achive this through strict processes, not by gluten averaging, or other statistical games like most other manufacturers. Kosher certified. Processed in a dedicated gluten-free mill and packaging facility. Always from seed and fields harvested under a strict purity protocol. Our facility is WHEAT, PEANUT, and SOY free. GF Harvest oat products are safe for those who are diagnosed celiac, gluten intolerant, or anyone desiring a high quality gluten-free product. Learn more at pure.gfharvest.com.","About the product Certified Organic, certified Gluten Free Rolled Oats. 100% whole grain, natural rolled oats for a heart healthy start to your day or for use in your favorite recipes. Case of 6 - 2.5 lb bags (41 oz / 1.162 kg) Certified Organic by OneCertTM. Certified Gluten-Free. Certified Non-GMO. Tested to be under 10 PPM gluten content. Trust From The Start TM. We achive this through strict processes, not by gluten averaging, or other statistical games like most other manufacturers. Kosher certified. Processed in a dedicated gluten-free mill and packaging facility. Always from seed and fields harvested under a strict purity protocol. Our facility is WHEAT, PEANUT, and SOY free. GF Harvest oat products are safe for those who are diagnosed celiac, gluten intolerant, or anyone desiring a high quality gluten-free product. Learn more at pure.gfharvest.com. More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,3.4,Amazon Products,,B01N6OX5NL,0.202739718
0,Amazon USA,Uncle Ben's,Amazon USA,Amazon USA_20190523_127765,Product_20190523_82699,Product,Product,2019 Q1,B017RP35W0,Uncle Ben's,Company,https://www.amazon.com/dp/B017RP35W0,Uncle Ben's Rice Time Medium Curry Microwave Ready Meal 300g - Pack of 6,"Chilli rating - 2 No artificial colours, flavours or preservatives Low fat Made with good, simple and tasty ingredients, steam-sealed for freshness and flavour Suitable for vegetarians Medium curry with red peppers and baby corn, with our long grain rice in a separate pot. Each serving of 300g contains kcal 396 20%, Sugars 8.1g 9%, Fat 9.0g 13%, Saturates 3.9g 20%, Salt 1.5g 25% of an adult's guideline daily amount. 1 Portion Sauce: Packaged in a protective atmosphere. Begin with Uncle Ben's® and bring a smile to meal times. With our specially prepared rice, carefully selected ingredients and a touch of Uncle Ben's know-how, you can enjoy perfect rice meals every time. Simply no need for artificial colours, flavours or preservatives. Serves 1, Perfect in 90 seconds, Perfect for lunch, Low fat, No artificial colours, flavours or preservatives, Suitable for vegetarians",About the product Uncle Ben's Rice Time Medium Curry Microwave Ready Meal 300g - Pack of 6 Quantity: 6 More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice,USA,,Amazon Products,,B017RP35W0,0.559951913
1,Amazon USA,Uncle Ben's,Amazon USA,Amazon USA_20190523_122657,Product_20190523_77591,Product,Product,2019 Q1,B00CF5CCEU,Uncle Ben's,Company,https://www.amazon.com/dp/B00CF5CCEU,Rice Uncle Bens Original Pilaf 6 Case 36 Ounce,"Rice Uncle Bens Original Pilaf 6 Case 36 Ounce A completely vegetarian blend of parboiled long-grain rice, herbs, spices, and toasted pasta. Enriched with B-vitamins and iron.",,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Pilaf",,Yes,,Yes,General Rice,USA,5,Amazon Products,,B00CF5CCEU,0.597766649
1,Amazon USA,Near East,Amazon USA,Amazon USA_20190523_128957,Product_20190523_83891,Product,Product,2019 Q1,B00JVZN2Y6,Near East,Company,https://www.amazon.com/dp/B00JVZN2Y6,Near East Pine Nuts Couscous - 5.6 oz,Near East Pine Nuts Couscous - 5.6 oz,"About the product 6 - 5.6oz Boxes of COUSCOUS Mix TOASTED PINE NUT by Near East Near East has combined the nutty flavor of toasted pine nuts with 100% semolina wheat couscous, onions, garlic, leeks and spices to create this delicious and versatile dish! Kosher Certified *OU* More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes",,Yes,,Yes,Couscous,USA,5,Amazon Products,,B00JVZN2Y6,0.80738023
